dataset,mutation_percentages,parent_selection,crossover,mutation,keep_parents,mae,mse,max_error,f1-score,training_time,test_time,total_time
base_dataset,default,sus,uniform,random,-1,0.1385681562599101,0.0311301120394893,0.5866772018389893,,237.18062233924863,0.1576683521270752,237.33829069137573
base_dataset,default,sus,single_point,random,-1,0.1570082327215952,0.0333305885140666,0.5290802633569336,,210.7649557590485,0.1656346321105957,210.93059039115903
base_dataset,default,sus,single_point,scramble,-1,0.1608484633393529,0.0430103721152905,0.6124204602778626,,248.06595921516416,0.1864862442016601,248.25244545936584
larger_dataset,default,tournament,single_point,scramble,-1,0.163487358068412,0.0438743799572094,0.8408718073529053,,172.31631088256836,0.0958578586578369,172.4121687412262
base_dataset,default,tournament,single_point,random,-1,0.1666825183257335,0.0506650678100391,0.7716164843017577,,273.92707204818726,0.2256648540496826,274.15273690223694
base_dataset,default,sss,single_point,random,-1,0.174539626595656,0.0485912857702642,0.8915632942478944,,248.05122828483584,0.194371223449707,248.24559950828552
base_dataset,default,sus,uniform,scramble,-1,0.1823337727489349,0.0527601123771081,0.7562784252838135,,258.5533709526062,0.1923880577087402,258.74575901031494
noisy_dataset,default,tournament,single_point,scramble,-1,0.1851241611008725,0.0526527611006966,0.7486936050357056,,107.5037100315094,0.0757861137390136,107.5794961452484
noisy_dataset,default,sss,uniform,random,-1,0.1997668874338643,0.0622740415622656,0.8278155189440919,,118.65044927597046,0.0807592868804931,118.73120856285097
noisy_dataset,default,sss,single_point,scramble,-1,0.213672636197527,0.0722335112744135,0.808163109389038,,117.9943208694458,0.0752272605895996,118.0695481300354
larger_dataset,default,sus,single_point,scramble,-1,0.2225962977748784,0.076773272835562,0.8809085729537962,,380.8593904972077,0.1209824085235595,380.9803729057312
noisy_dataset,default,sus,single_point,scramble,-1,0.2234176053622416,0.0790681759591272,0.7409807490637208,,117.5965986251831,0.0752134323120117,117.67181205749512
noisy_dataset,default,tournament,uniform,scramble,-1,0.2264597896886241,0.0779748886527596,0.7509939074516296,,107.98232436180116,0.0745241641998291,108.05684852600098
larger_dataset,default,sus,single_point,random,-1,0.2278999922637304,0.0785004913639406,0.9565103596969604,,464.41260266304016,0.2021951675415039,464.61479783058167
noisy_dataset,default,sus,uniform,random,-1,0.2321339532163777,0.083338690445341,0.8678363608648683,,109.1876266002655,0.0780768394470214,109.26570343971252
noisy_dataset,default,sus,single_point,random,-1,0.2332827983660911,0.0827815829369619,0.7632714357931518,,121.24206519126892,0.0810163021087646,121.32308149337769
noisy_dataset,default,tournament,uniform,random,-1,0.2424739004659556,0.0941184786461855,0.8499699837692261,,107.88277554512024,0.0719077587127685,107.954683303833
larger_dataset,default,sus,uniform,scramble,-1,0.2472047204107745,0.0948839109667953,0.9766883611264036,,191.8484826087952,0.1000912189483642,191.94857382774356
base_dataset,default,sss,uniform,random,-1,0.2557193545039365,0.1039150949444739,1.053236780480652,,249.3235991001129,0.1631546020507812,249.4867537021637
noisy_dataset,default,sss,uniform,scramble,-1,0.2580940301540952,0.1016265977072041,0.772503499918213,,121.20637083053587,0.0803079605102539,121.28667879104614
base_dataset,default,sss,uniform,scramble,-1,0.2584380261733948,0.1030820694450172,1.0790144205093384,,217.97034668922424,0.184765338897705,218.15511202812195
noisy_dataset,default,sss,single_point,random,-1,0.2602999442701283,0.1112817857399252,1.5979575263372805,,116.87649154663086,0.0817081928253173,116.95819973945618
larger_dataset,default,sss,single_point,scramble,-1,0.2714578833892171,0.1181981571458878,0.9625953498242188,,445.0672643184662,0.233870267868042,445.30113458633423
noisy_dataset,default,sus,uniform,scramble,-1,0.272428619816395,0.117353905104934,0.8999492561193848,,119.5501127243042,0.0763864517211914,119.6264991760254
larger_dataset,default,tournament,uniform,scramble,-1,0.2724872555655954,0.1162832114727454,1.0426399700213622,,168.32285237312317,0.1002445220947265,168.4230968952179
larger_dataset,default,sss,uniform,scramble,-1,0.2802603921697871,0.1249215497459462,1.2640113464013671,,472.5734529495239,0.229996919631958,472.8034498691559
base_dataset,default,tournament,uniform,scramble,-1,0.3016845561128398,0.1349251848951538,0.9435108142465212,,258.01556754112244,0.1633784770965576,258.178946018219
larger_dataset,default,sus,uniform,random,-1,0.3035994852969791,0.1500868264028017,1.3761083832684329,,194.18784046173096,0.0902085304260253,194.27804899215695
noisy_dataset,default,tournament,single_point,random,-1,0.3067733269281412,0.1462876834127152,1.1841060492697144,,111.64507031440736,0.0705993175506591,111.715669631958
base_dataset,default,tournament,single_point,scramble,-1,0.3087324382687103,0.1486274505126845,1.1178700028137207,,386.1626846790314,0.1752469539642334,386.3379316329956
larger_dataset,default,sss,single_point,random,-1,0.3123851179259285,0.1591341101365966,1.365444859714966,,379.7806351184845,0.2343831062316894,380.0150182247162
base_dataset,default,tournament,uniform,random,-1,0.3130571517694259,0.156363551259932,1.5331857204437256,,308.0828592777252,0.1600747108459472,308.2429339885712
larger_dataset,default,tournament,single_point,random,-1,0.3134188206988831,0.1598471752892732,1.3620957679077148,,192.7815215587616,0.1051127910614013,192.886634349823
base_dataset,default,sss,single_point,scramble,-1,0.3639390894144796,0.2051634388027556,1.3815126715377808,,241.8393793106079,0.1290004253387451,241.96837973594663
larger_dataset,default,tournament,uniform,random,-1,0.3922937728421184,0.2479131183542544,1.6402132731304169,,171.36928367614746,0.0945136547088623,171.46379733085632
larger_dataset,default,sss,uniform,random,-1,0.4139512262584698,0.2653189569188096,1.5488154843263244,,435.6485393047333,0.3191566467285156,435.9676959514618
